MW737421.1	MW739678.1	99.745	29816	76	0	1	29816	1	29816	0.0	53433
MW737421.1	MW739678.1	88.889	36	4	0	5699	5734	5734	5699	2.80e-06	48.2
MW737421.1	MW739678.1	80.952	42	8	0	27847	27888	27347	27388	4.15e-04	41.0
MW737421.1	MW739678.1	85.714	28	4	0	11614	11641	6951	6978	0.062	33.7
MW737421.1	MW739678.1	85.714	28	4	0	6951	6978	11614	11641	0.062	33.7
MW737421.1	MW739678.1	91.304	23	2	0	16474	16496	12464	12486	0.062	33.7
MW737421.1	MW739678.1	91.304	23	2	0	12464	12486	16474	16496	0.062	33.7
MW737421.1	MW739678.1	100.000	17	0	0	14798	14814	3217	3233	0.21	31.9
MW737421.1	MW739678.1	88.000	25	3	0	5069	5093	5093	5069	0.21	31.9
MW737421.1	MW739678.1	100.000	17	0	0	20110	20126	5918	5934	0.21	31.9
MW737421.1	MW739678.1	100.000	17	0	0	3217	3233	14798	14814	0.21	31.9
MW737421.1	MW739678.1	100.000	17	0	0	5918	5934	20110	20126	0.21	31.9
MW737421.1	MW739678.1	84.615	26	4	0	6193	6218	5286	5261	0.75	30.1
MW737421.1	MW739678.1	100.000	16	0	0	6051	6066	6066	6051	0.75	30.1
MW737421.1	MW739678.1	100.000	16	0	0	20123	20138	19682	19697	0.75	30.1
MW737421.1	MW739678.1	100.000	16	0	0	19682	19697	20123	20138	0.75	30.1
MW737421.1	MW739678.1	100.000	16	0	0	22863	22878	22878	22863	0.75	30.1
MW737421.1	MW739678.1	90.000	20	2	0	22284	22303	3148	3129	2.6	28.3
MW737421.1	MW739678.1	90.000	20	2	0	22645	22664	5198	5179	2.6	28.3
MW737421.1	MW739678.1	84.000	25	4	0	5261	5285	6218	6194	2.6	28.3
MW737421.1	MW739678.1	100.000	15	0	0	10011	10025	7198	7212	2.6	28.3
MW737421.1	MW739678.1	100.000	15	0	0	13258	13272	8451	8437	2.6	28.3
MW737421.1	MW739678.1	100.000	15	0	0	7198	7212	10011	10025	2.6	28.3
MW737421.1	MW739678.1	100.000	15	0	0	8437	8451	13272	13258	2.6	28.3
MW737421.1	MW739678.1	86.957	23	3	0	21904	21926	16241	16219	2.6	28.3
MW737421.1	MW739678.1	86.957	23	3	0	16219	16241	21926	21904	2.6	28.3
MW737421.1	MW739678.1	90.000	20	2	0	3129	3148	22303	22284	2.6	28.3
MW737421.1	MW739678.1	90.000	20	2	0	5179	5198	22664	22645	2.6	28.3
MW737421.1	MW739678.1	94.118	17	1	0	18523	18539	3764	3780	9.1	26.5
MW737421.1	MW739678.1	100.000	14	0	0	25840	25853	3947	3934	9.1	26.5
MW737421.1	MW739678.1	94.118	17	1	0	29599	29615	5700	5684	9.1	26.5
MW737421.1	MW739678.1	100.000	14	0	0	25944	25957	11263	11276	9.1	26.5
MW737421.1	MW739678.1	89.474	19	2	0	19420	19438	17942	17960	9.1	26.5
MW737421.1	MW739678.1	94.118	17	1	0	3764	3780	18523	18539	9.1	26.5
MW737421.1	MW739678.1	89.474	19	2	0	17942	17960	19420	19438	9.1	26.5
MW737421.1	MW739678.1	89.474	19	2	0	28075	28093	22887	22869	9.1	26.5
MW737421.1	MW739678.1	100.000	14	0	0	3934	3947	25853	25840	9.1	26.5
MW737421.1	MW739678.1	100.000	14	0	0	11263	11276	25944	25957	9.1	26.5
MW737421.1	MW739678.1	94.118	17	1	0	5684	5700	29615	29599	9.1	26.5
MW737421.1	MW739678.1	100.000	14	0	0	29773	29786	29786	29773	9.1	26.5
